lamda3=0.1

5, Loss2=0.0267, LossMSE=3.2610, LossGram=3.7285,Loss_Full=0.7402, Time=0.2415
0110 00414 Loss1=0.0170, Lambda=2.75, Loss2=0.0265, LossMSE=3.2400, LossGram=2.6690,Loss_Full=0.6344, Time=0.2489
0110 00415 Loss1=0.0167, Lambda=2.75, Loss2=0.0269, LossMSE=3.0210, LossGram=3.0808,Loss_Full=0.6538, Time=0.2593
0110 00416 Loss1=0.0146, Lambda=2.75, Loss2=0.0265, LossMSE=3.0887, LossGram=3.2071,Loss_Full=0.6706, Time=0.2455
0110 00417 Loss1=0.0154, Lambda=2.75, Loss2=0.0264, LossMSE=3.1865, LossGram=3.1808,Loss_Full=0.6786, Time=0.2296
0110 00418 Loss1=0.0161, Lambda=2.75, Loss2=0.0263, LossMSE=2.9948, LossGram=2.9834,Loss_Full=0.6402, Time=0.2533
0110 00419 Loss1=0.0168, Lambda=2.75, Loss2=0.0267, LossMSE=3.1336, LossGram=3.1706,Loss_Full=0.6738, Time=0.2689
0110 00420 Loss1=0.0159, Lambda=2.75, Loss2=0.0266, LossMSE=3.2871, LossGram=3.2911,Loss_Full=0.7004, Time=0.2317
0110 00421 Loss1=0.0162, Lambda=2.75, Loss2=0.0264, LossMSE=3.2046, LossGram=2.8749,Loss_Full=0.6505, Time=0.2412
0110 00422 Loss1=0.0182, Lambda=2.75, Loss2=0.0267, LossMSE=3.4172, LossGram=2.7865,Loss_Full=0.6654, Time=0.2548
0110 00423 Loss1=0.0168, Lambda=2.75, Loss2=0.0267, LossMSE=3.3888, LossGram=2.8472,Loss_Full=0.6671, Time=0.2404
0110 00424 Loss1=0.0188, Lambda=2.75, Loss2=0.0269, LossMSE=3.0718, LossGram=2.7567,Loss_Full=0.6285, Time=0.2369
0110 00425 Loss1=0.0166, Lambda=2.75, Loss2=0.0266, LossMSE=3.3096, LossGram=3.0054,Loss_Full=0.6747, Time=0.2704
0110 00426 Loss1=0.0207, Lambda=2.75, Loss2=0.0270, LossMSE=3.4241, LossGram=2.5662,Loss_Full=0.6468, Time=0.2310
0110 00427 Loss1=0.0169, Lambda=2.75, Loss2=0.0269, LossMSE=3.4880, LossGram=3.0822,Loss_Full=0.7008, Time=0.2598
0110 00428 Loss1=0.0170, Lambda=2.75, Loss2=0.0266, LossMSE=2.8252, LossGram=3.2634,Loss_Full=0.6525, Time=0.2475
0110 00429 Loss1=0.0179, Lambda=2.75, Loss2=0.0267, LossMSE=3.5255, LossGram=2.5125,Loss_Full=0.6485, Time=0.2526
