 lamda =0.06


 Loss2=0.0267, LossMSE=3.3019, LossGram=3.3932,Loss_Full=0.4440, Time=0.2503
0110 00410 Loss1=0.0139, Lambda=2.75, Loss2=0.0263, LossMSE=2.8058, LossGram=3.6797,Loss_Full=0.4294, Time=0.2387
0110 00411 Loss1=0.0170, Lambda=2.75, Loss2=0.0266, LossMSE=3.2348, LossGram=3.1397,Loss_Full=0.4260, Time=0.2547
0110 00412 Loss1=0.0160, Lambda=2.75, Loss2=0.0266, LossMSE=3.0154, LossGram=3.3484,Loss_Full=0.4245, Time=0.2270
0110 00413 Loss1=0.0152, Lambda=2.75, Loss2=0.0265, LossMSE=2.8436, LossGram=3.2737,Loss_Full=0.4088, Time=0.2511
0110 00414 Loss1=0.0183, Lambda=2.75, Loss2=0.0266, LossMSE=3.1676, LossGram=2.7241,Loss_Full=0.3984, Time=0.2496
0110 00415 Loss1=0.0142, Lambda=2.75, Loss2=0.0266, LossMSE=3.1488, LossGram=3.5350,Loss_Full=0.4418, Time=0.2597
0110 00416 Loss1=0.0151, Lambda=2.75, Loss2=0.0264, LossMSE=2.8988, LossGram=3.3709,Loss_Full=0.4177, Time=0.2268
0110 00417 Loss1=0.0171, Lambda=2.75, Loss2=0.0265, LossMSE=3.3229, LossGram=2.8911,Loss_Full=0.4165, Time=0.2588
0110 00418 Loss1=0.0175, Lambda=2.75, Loss2=0.0265, LossMSE=2.9301, LossGram=3.0286,Loss_Full=0.4015, Time=0.2412
0110 00419 Loss1=0.0158, Lambda=2.75, Loss2=0.0266, LossMSE=3.3059, LossGram=3.4268,Loss_Full=0.4463, Time=0.2580
0110 00420 Loss1=0.0169, Lambda=2.75, Loss2=0.0265, LossMSE=3.0415, LossGram=2.9756,Loss_Full=0.4044, Time=0.2353
0110 00421 Loss1=0.0149, Lambda=2.75, Loss2=0.0265, LossMSE=3.3798, LossGram=3.1320,Loss_Full=0.4321, Time=0.2294
0110 00422 Loss1=0.0162, Lambda=2.75, Loss2=0.0265, LossMSE=3.2356, LossGram=3.2965,Loss_Full=0.4346, Time=0.2459
0110 00423 Loss1=0.0160, Lambda=2.75, Loss2=0.0263, LossMSE=3.3062, LossGram=2.7647,Loss_Full=0.4066, Time=0.2415
0110 00424 Loss1=0.0181, Lambda=2.75, Loss2=0.0268, LossMSE=3.1338, LossGram=2.8447,Loss_Full=0.4036, Time=0.2469
0110 00425 Loss1=0.0175, Lambda=2.75, Loss2=0.0264, LossMSE=3.3383, LossGram=2.7138,Loss_Full=0.4070, Time=0.2518
0110 00426 Loss1=0.0155, Lambda=2.75, Loss2=0.0264, LossMSE=3.1672, LossGram=2.9820,Loss_Full=0.4108, Time=0.2583
0110 00427 Loss1=0.0131, Lambda=2.75, Loss2=0.0263, LossMSE=3.0626, LossGram=3.6191,Loss_Full=0.4403, Time=0.2605
0110 00428 Loss1=0.0157, Lambda=2.75, Loss2=0.0266, LossMSE=3.2867, LossGram=3.3560,Loss_Full=0.4408, Time=0.2592
0110 00429 Loss1=0.0195, Lambda=2.75, Loss2=0.0264, LossMSE=3.2094, LossGram=2.9943,Loss_Full=0.4182, Time=0.2555
